Date,Greenland AWP,Canada,USA 48,eastern Canada,Central Canada,Canadian Rockies,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
2015-311,0.041,2.077,8.644,3.854,2.659,2.237,0.176,0.71,8.813,7.865,8.475,6.262
2015-312,0.037,2.044,8.568,3.681,2.769,2.172,0.164,0.673,8.678,7.739,8.357,6.324
2015-313,0.034,2.07,8.523,3.633,2.968,2.121,0.153,0.637,8.545,7.65,8.223,6.466
2015-314,0.031,2.009,8.338,3.559,2.873,2.03,0.142,0.604,8.416,7.538,8.1,6.076
2015-315,0.029,1.85,8.139,3.488,2.404,1.891,0.132,0.572,8.289,7.402,7.803,5.68
2015-316,0.026,1.758,7.805,3.392,2.308,1.617,0.122,0.542,8.166,6.968,7.698,5.135
2015-317,0.024,1.616,7.852,3.264,1.906,1.588,0.113,0.385,8.045,6.962,7.713,5.489
2015-318,0.022,1.442,7.783,2.69,1.883,1.508,0.105,0.339,7.927,6.867,7.603,5.523
2015-319,0.02,1.442,7.785,2.519,2.113,1.441,0.098,0.321,7.811,6.871,7.495,5.697
2015-320,0.018,1.445,7.704,2.463,2.223,1.396,0.091,0.304,7.699,6.794,7.224,5.668
2015-321,0.017,1.486,7.235,2.616,2.254,1.36,0.084,0.288,7.568,6.739,6.984,4.109
2015-322,0.015,1.428,7.031,2.625,2.06,1.29,0.078,0.27,7.481,6.378,6.787,4.14
2015-323,0.014,1.341,7.172,2.607,1.761,1.248,0.072,0.256,7.378,6.347,6.995,4.737
2015-324,0.013,1.205,7.094,2.558,1.297,1.208,0.067,0.243,7.277,6.035,6.981,4.937
2015-325,0.012,1.174,6.81,2.526,1.249,1.148,0.062,0.23,7.18,5.5,6.923,4.67
2015-326,0.011,1.134,6.581,2.425,1.214,1.129,0.058,0.218,7.085,4.742,6.834,4.913
2015-327,0.01,1.044,6.6,1.98,1.326,1.143,0.054,0.207,6.825,4.891,6.772,4.975
2015-328,0.009,0.974,6.59,1.795,1.269,1.112,0.05,0.197,6.485,4.997,6.671,5.009
2015-329,0.008,0.882,6.584,1.68,1.107,0.977,0.046,0.187,6.493,5.23,6.513,4.775
2015-330,0.008,0.827,6.212,1.69,0.896,0.944,0.043,0.178,6.486,5.049,5.948,3.711
2015-331,0.007,0.831,5.884,1.746,0.871,0.92,0.04,0.15,6.513,4.437,5.926,3.328
2015-332,0.007,0.836,5.647,1.796,0.852,0.898,0.038,0.148,6.509,4.063,6.259,3.24
2015-333,0.006,0.816,5.636,1.735,0.855,0.876,0.035,0.14,6.418,4.185,6.191,3.297
2015-334,0.006,0.805,5.714,1.715,0.844,0.859,0.033,0.134,6.428,4.317,6.201,3.353
2015-335,0.005,0.764,5.678,1.576,0.844,0.839,0.031,0.128,6.215,4.166,6.146,3.305
2015-336,0.005,0.751,5.581,1.552,0.83,0.823,0.029,0.123,6.153,3.923,6.101,3.319
2015-337,0.005,0.74,5.508,1.521,0.831,0.805,0.028,0.122,6.094,3.841,6.021,3.231
2015-338,0.004,0.725,5.536,1.467,0.828,0.811,0.026,0.118,5.769,3.974,5.982,3.331
2015-339,0.004,0.754,5.765,1.436,0.985,0.801,0.024,0.115,5.798,4.439,5.922,3.662
2015-340,0.004,0.776,5.813,1.509,1,0.796,0.023,0.11,5.795,4.589,5.874,3.714
2015-341,0.004,0.789,5.88,1.58,1.002,0.754,0.022,0.106,5.751,4.817,5.827,3.743
2015-342,0.003,0.805,5.993,1.625,1.003,0.781,0.021,0.116,5.798,4.924,5.793,4.089
2015-343,0.003,0.811,6.117,1.652,0.995,0.794,0.02,0.114,5.77,5.056,5.773,4.458
2015-344,0.003,0.794,6.094,1.621,0.969,0.779,0.019,0.109,5.702,5.101,5.731,4.376
2015-345,0.003,0.728,6.057,1.57,0.79,0.724,0.018,0.116,5.671,5.185,5.665,4.177
2015-346,0.003,0.693,5.807,1.579,0.653,0.706,0.017,0.11,5.686,4.889,5.467,3.647
2015-347,0.003,0.677,5.537,1.535,0.641,0.698,0.017,0.108,5.788,4.707,5.438,3.084
2015-348,0.003,0.697,5.387,1.626,0.634,0.678,0.016,0.106,5.778,4.471,5.404,3.067
2015-349,0.002,0.662,5.068,1.509,0.626,0.673,0.016,0.087,5.508,4.214,5.113,2.32
2015-350,0.002,0.645,4.974,1.424,0.634,0.693,0.015,0.09,5.457,3.896,5.133,2.325
2015-351,0.002,0.627,4.964,1.383,0.615,0.681,0.015,0.085,5.431,3.79,5.241,2.397
2015-352,0.002,0.613,4.945,1.355,0.609,0.651,0.015,0.083,5.426,3.788,5.221,2.318
2015-353,0.002,0.602,4.943,1.314,0.608,0.647,0.015,0.083,5.41,3.712,5.209,2.382
2015-354,0.002,0.595,4.971,1.295,0.602,0.645,0.014,0.082,5.022,3.731,5.2,2.489
2015-355,0.002,0.58,4.928,1.243,0.601,0.643,0.014,0.081,4.771,3.779,5.131,2.343
2015-356,0.002,0.58,5.048,1.242,0.6,0.642,0.014,0.081,4.976,3.961,5.015,2.47
2015-357,0.002,0.582,5.169,1.253,0.6,0.638,0.014,0.078,5.497,4.091,5,2.658
2015-358,0.002,0.583,5.183,1.26,0.599,0.637,0.014,0.069,5.499,4.092,4.981,2.657
2015-359,0.002,0.604,5.075,1.336,0.6,0.638,0.014,0.07,5.505,3.727,4.885,2.692
2015-360,0.002,0.619,4.935,1.392,0.602,0.636,0.014,0.071,5.551,3.72,4.733,2.116
2015-361,0.002,0.629,4.938,1.421,0.605,0.64,0.015,0.071,5.58,3.658,4.545,2.218
2015-362,0.002,0.564,4.406,1.177,0.608,0.634,0.015,0.072,5.376,3.447,4.643,2.121
2015-363,0.002,0.546,4.211,1.107,0.613,0.638,0.015,0.073,4.979,2.956,4.718,2.176
2015-364,0.002,0.545,4.299,1.093,0.618,0.646,0.015,0.075,4.421,3.036,4.727,2.192
2015-365,0.002,0.551,4.38,1.106,0.623,0.651,0.016,0.078,4.544,2.937,4.77,2.262
2015-366,0.003,0.556,4.395,1.115,0.63,0.658,0.016,0.079,4.564,2.95,4.791,2.271
2016-001,0.003,0.558,4.45,1.112,0.637,0.664,0.017,0.09,4.677,3.04,4.814,2.279
2016-002,0.003,0.564,4.576,1.122,0.645,0.672,0.017,0.092,4.587,3.194,4.839,2.43
2016-003,0.003,0.571,4.638,1.134,0.654,0.681,0.018,0.095,4.63,3.314,4.867,2.434
2016-004,0.003,0.578,4.761,1.145,0.664,0.69,0.019,0.098,4.596,3.422,4.943,2.447
2016-005,0.003,0.581,4.682,1.135,0.675,0.708,0.02,0.117,3.983,3.369,4.773,2.47
2016-006,0.003,0.592,4.735,1.161,0.686,0.714,0.021,0.106,4.181,3.497,4.98,2.299
2016-007,0.004,0.6,4.766,1.171,0.699,0.727,0.022,0.11,4.375,3.572,5.052,2.162
2016-008,0.004,0.61,4.923,1.188,0.712,0.737,0.023,0.098,4.607,3.716,4.973,2.225
2016-009,0.004,0.623,4.831,1.214,0.726,0.751,0.024,0.102,4.871,3.515,5.103,2.132
2016-010,0.004,0.636,4.766,1.235,0.741,0.772,0.026,0.123,5.023,3.23,5.364,2.231
2016-011,0.005,0.642,4.61,1.233,0.757,0.788,0.027,0.129,4.579,2.909,5.414,2.268
2016-012,0.005,0.656,4.752,1.256,0.774,0.805,0.029,0.131,4.646,3.072,5.502,2.321
2016-013,0.005,0.669,4.832,1.279,0.792,0.823,0.031,0.133,4.142,3.157,5.682,2.422
2016-014,0.006,0.682,4.853,1.294,0.812,0.844,0.033,0.134,3.488,3.279,5.711,2.473
2016-015,0.006,0.697,5.086,1.318,0.832,0.864,0.035,0.14,4.005,3.59,5.811,2.56
2016-016,0.007,0.713,5.194,1.344,0.853,0.883,0.038,0.147,4.078,3.892,5.876,2.459
2016-017,0.007,0.73,5.195,1.371,0.875,0.909,0.04,0.154,4.124,3.811,5.938,2.604
2016-018,0.008,0.748,5.086,1.399,0.899,0.933,0.043,0.162,3.998,3.246,6.008,2.703
2016-019,0.008,0.767,5.214,1.428,0.923,0.958,0.047,0.173,3.882,3.577,6.119,2.79
2016-020,0.009,0.786,5.3,1.459,0.949,0.984,0.05,0.183,4.026,3.594,6.332,2.873
2016-021,0.01,0.808,5.106,1.491,0.976,1.022,0.054,0.194,4.136,3.131,6.461,3.07
2016-022,0.011,0.83,5.203,1.524,1.004,1.051,0.058,0.204,4.3,3.151,6.557,3.173
2016-023,0.012,0.852,4.963,1.559,1.034,1.081,0.063,0.216,3.785,3.192,6.643,3.248
2016-024,0.013,0.876,5.018,1.594,1.067,1.109,0.067,0.232,3.431,3.268,6.751,3.309
2016-025,0.014,0.9,5.162,1.631,1.098,1.142,0.073,0.249,3.514,3.366,6.819,3.304
2016-026,0.015,0.925,5.362,1.67,1.129,1.176,0.078,0.266,3.641,3.567,6.903,3.417
2016-027,0.017,0.952,5.726,1.71,1.167,1.212,0.084,0.281,3.795,4.318,7.026,3.476
2016-028,0.018,0.985,5.942,1.751,1.223,1.249,0.091,0.295,4.042,4.62,7.189,3.598
2016-029,0.02,1.018,6.24,1.805,1.264,1.288,0.098,0.312,4.416,5.03,7.293,3.783
2016-030,0.022,1.077,6.483,1.854,1.409,1.341,0.106,0.33,4.476,5.32,7.425,3.935
2016-031,0.024,1.107,6.489,1.899,1.445,1.379,0.114,0.34,4.43,5.448,7.331,3.676
2016-032,0.026,1.139,6.629,1.946,1.492,1.417,0.123,0.359,5.114,5.442,7.513,3.583
2016-033,0.028,1.17,6.499,2.025,1.497,1.453,0.133,0.38,5.669,5.635,7.186,2.948
2016-034,0.031,1.199,6.386,2.075,1.519,1.499,0.143,0.403,6.555,4.852,7.094,3.108
2016-035,0.034,1.239,6.52,2.127,1.577,1.55,0.154,0.426,6.77,4.997,7.202,3.175
2016-036,0.037,1.277,6.6,2.185,1.623,1.599,0.166,0.451,7.057,4.957,7.499,3.157
2016-037,0.04,1.313,6.708,2.235,1.662,1.659,0.178,0.479,6.356,5.041,8.147,3.406
2016-038,0.044,1.388,6.995,2.313,1.832,1.71,0.191,0.506,6.787,5.465,8.31,3.605
2016-039,0.048,1.425,7.251,2.385,1.853,1.765,0.206,0.535,7.19,5.708,8.448,3.899
2016-040,0.053,1.481,7.158,2.472,1.928,1.822,0.221,0.565,7.093,5.325,8.731,4.051
2016-041,0.057,1.506,6.833,2.424,2.023,1.887,0.237,0.602,5.585,4.902,8.84,4.186
2016-042,0.062,1.563,6.928,2.476,2.117,1.982,0.253,0.665,4.925,4.951,9.015,4.549
2016-043,0.068,1.581,7.156,2.537,2.064,2.041,0.271,0.704,5.158,5.084,9.186,4.776
2016-044,0.074,1.631,7.334,2.601,2.127,2.118,0.29,0.743,5.299,5.416,9.341,4.899
2016-045,0.08,1.676,7.598,2.666,2.168,2.189,0.31,0.784,5.258,5.812,9.607,5.088
2016-046,0.087,1.727,7.548,2.732,2.235,2.259,0.331,0.84,5.378,5.465,9.758,5.45
2016-047,0.095,1.786,7.615,2.8,2.328,2.327,0.353,0.883,4.866,5.733,9.937,5.67
2016-048,0.103,1.85,8.016,2.87,2.433,2.404,0.377,0.929,4.963,6.241,10.093,5.99
2016-049,0.112,1.887,8.281,2.94,2.431,2.478,0.401,0.981,5.559,6.365,10.263,6.096
2016-050,0.121,1.957,8.782,3.012,2.552,2.56,0.427,0.979,6.583,7.348,10.366,6.071
2016-051,0.131,2,9.383,3.085,2.563,2.638,0.454,1.03,7.05,8.291,10.517,6.667
2016-052,0.142,2.078,9.624,3.228,2.636,2.718,0.482,1.053,7.801,8.645,10.68,6.713
2016-053,0.153,2.134,9.849,3.314,2.716,2.744,0.511,1.104,8.825,8.737,10.573,6.911
2016-054,0.166,2.264,10.163,3.508,2.936,2.83,0.541,1.157,9.802,9.028,10.8,7.212
2016-055,0.179,2.352,10.261,3.601,3.069,2.966,0.573,1.217,10.019,9.296,10.995,7.263
2016-056,0.193,2.394,10.152,3.547,3.197,3.062,0.606,1.307,9.455,8.635,11.163,7.472
2016-057,0.207,2.467,10.351,3.634,3.293,3.158,0.641,1.367,9.185,9.021,11.371,7.649
2016-058,0.223,2.548,10.63,3.717,3.426,3.25,0.677,1.429,8.989,9.371,11.598,8.141
2016-059,0.24,2.658,10.984,3.863,3.605,3.347,0.714,1.492,9.689,9.917,11.772,8.314
2016-060,0.258,2.764,11.385,4.049,3.718,3.447,0.752,1.557,11.103,10.331,11.947,8.647
2016-061,0.277,2.816,11.422,4.06,3.815,3.528,0.792,1.645,11.341,10.221,12.141,8.656
2016-062,0.296,2.798,11.192,4.249,3.426,3.628,0.833,1.702,11.456,9.301,12.347,8.74
2016-063,0.318,2.886,11.374,4.25,3.66,3.728,0.875,1.814,10.195,9.705,12.653,9.089
2016-064,0.34,2.962,11.58,4.302,3.788,3.833,0.919,1.919,10.795,9.939,12.836,9.332
2016-065,0.363,3.131,11.905,4.517,4.083,3.993,0.964,2.007,11.104,10.317,13.02,9.654
2016-066,0.388,3.191,12.087,4.365,4.361,4.103,1.011,2.071,11.293,10.526,13.205,9.822
2016-067,0.414,3.291,12.385,4.484,4.503,4.216,1.059,2.072,12.16,11.159,13.375,9.66
2016-068,0.441,3.414,12.683,4.627,4.712,4.323,1.108,2.15,12.739,12.134,13.522,9.123
2016-069,0.469,3.544,13.031,4.859,4.82,4.493,1.159,2.196,13.029,12.369,13.467,9.898
2016-070,0.499,3.648,13.254,5.033,4.936,4.566,1.21,2.304,13.454,12.708,13.715,9.985
2016-071,0.53,3.774,13.514,5.208,5.095,4.716,1.264,2.44,14.025,12.901,14.037,10.337
2016-072,0.563,3.863,13.769,5.195,5.312,4.853,1.318,2.53,14.398,13.187,14.226,10.629
2016-073,0.597,3.95,13.903,5.257,5.456,4.961,1.374,2.557,14.315,13.329,14.414,10.781
2016-074,0.632,4.058,14.081,5.372,5.611,5.094,1.431,2.714,14.566,13.538,14.384,10.936
2016-075,0.669,4.215,14.177,5.579,5.955,5.075,1.489,2.855,14.67,13.892,14.258,10.63
2016-076,0.707,4.309,14.337,5.67,6.089,5.182,1.549,2.954,14.728,13.959,14.552,10.935
2016-077,0.746,4.296,14.447,5.839,5.749,5.219,1.61,2.925,15.055,13.974,14.534,11.058
2016-078,0.787,4.284,14.287,5.905,5.39,5.486,1.672,3.114,15.565,13.484,14.698,10.724
2016-079,0.829,4.361,14.2,5.968,5.494,5.575,1.735,3.214,15.095,12.945,15.131,11.025
2016-080,0.873,4.536,14.248,6.105,5.859,5.754,1.799,3.318,14.88,12.71,15.435,11.419
2016-081,0.918,4.728,14.989,6.24,6.247,6.007,1.865,3.382,15.073,14.349,15.621,11.841
2016-082,0.964,4.807,15.237,6.356,6.283,6.118,1.931,3.281,14.291,14.972,15.847,11.999
2016-083,1.012,4.778,15.442,6.34,6.018,6.246,1.998,3.386,15.733,15.099,15.846,11.99
2016-084,1.061,4.842,14.634,6.286,6.148,6.404,2.067,3.577,15.527,13.204,16.051,11.228
2016-085,1.111,5.021,15.088,6.389,6.568,6.563,2.136,3.677,15.838,13.59,16.424,12.176
2016-086,1.162,5.09,15.19,6.493,6.565,6.69,2.207,3.777,16.054,13.69,16.779,12.154
2016-087,1.214,5.242,14.978,6.632,6.853,6.825,2.278,3.929,16.867,12.949,17.135,11.846
2016-088,1.268,5.46,15.577,6.86,7.308,6.953,2.35,4.046,17.32,14.065,17.301,12.536
2016-089,1.323,5.697,16.136,7.025,7.913,7.081,2.423,4.15,17.522,16.05,17.488,11.621
2016-090,1.378,5.814,16.03,7.206,8.019,7.195,2.497,4.255,17.354,16.401,17.674,10.595
2016-091,1.435,6.018,16.247,7.413,8.339,7.497,2.571,4.325,17.647,16.241,17.948,11.373
2016-092,1.493,6.106,16.659,7.566,8.35,7.629,2.647,4.43,17.869,16.464,18.133,12.436
2016-093,1.552,6.27,16.844,7.746,8.538,7.926,2.722,4.696,18.399,16.397,18.361,12.934
2016-094,1.612,6.313,16.67,7.639,8.508,8.276,2.806,4.999,18.259,15.323,18.545,13.542
2016-095,1.673,6.452,16.869,7.634,8.869,8.44,2.883,5.329,14.364,16.341,18.728,13.972
2016-096,1.735,6.54,17.186,7.61,8.992,8.679,2.969,5.424,13.572,16.984,18.909,14.411
2016-097,1.797,6.468,17.528,7.781,8.385,8.759,3.032,5.541,15.317,17.176,19.089,14.765
2016-098,1.861,6.912,17.906,8.139,9.543,8.996,3.11,5.659,16.473,17.431,19.268,15.361
2016-099,1.925,6.983,18.027,7.945,9.735,9.312,3.196,5.794,17.378,17.388,19.47,15.426
2016-100,1.99,7.186,17.866,8.139,10.055,9.617,3.275,5.936,16.28,16.927,19.646,15.613
2016-101,2.055,7.482,18.138,8.569,10.426,10.03,3.361,6.055,16.597,17.244,19.821,15.983
2016-102,2.122,7.727,18.546,8.604,10.883,10.527,3.506,6.202,17.429,17.964,19.994,16.19
2016-103,2.189,7.677,18.601,8.691,10.561,10.521,3.529,6.338,17.579,17.951,20.19,16.199
2016-104,2.256,7.879,19.155,8.843,10.953,10.705,3.639,6.543,20.585,18.561,20.361,16.41
2016-105,2.324,8.087,19.324,9.384,11.202,10.641,3.67,6.786,20.802,18.767,20.529,16.57
2016-106,2.393,8.332,19.576,9.535,11.724,10.957,3.756,6.91,21.221,19.265,20.696,16.593
2016-107,2.462,8.705,19.662,9.656,12.711,11.211,3.928,7.033,21.39,19.435,20.81,16.489
2016-108,2.532,8.812,19.388,9.812,12.575,11.692,4.012,7.367,21.388,19.178,20.738,15.64
2016-109,2.602,9.06,19.414,9.969,13.111,11.93,4.127,7.521,21.752,19.017,20.949,15.683
2016-110,2.672,9.34,19.565,10.284,13.578,12.282,4.21,7.758,22.108,19.038,21.292,15.957
2016-111,2.743,9.612,19.958,10.67,13.969,12.578,4.295,7.875,22.271,19.672,21.449,16.44
2016-112,2.814,9.837,20.372,10.77,14.432,13.181,4.282,8.08,22.432,20.304,21.684,17.01
2016-113,2.885,10.707,20.604,11.982,16.224,13.58,4.407,8.517,22.641,20.536,21.838,17.396
2016-114,2.957,10.703,20.908,11.585,16.357,13.82,4.508,8.655,22.798,20.723,21.989,18.149
2016-115,3.028,10.877,21.068,11.87,16.419,14.195,4.591,8.774,22.953,20.882,22.167,18.37
2016-116,3.186,11.009,21.127,11.947,16.563,14.532,4.668,9.073,23.117,20.977,22.314,18.284
2016-117,3.259,11.12,20.843,12.071,16.669,14.7,4.749,9.204,23.491,21.019,22.347,16.867
2016-118,3.332,11.34,20.741,12.384,17,14.878,4.83,9.333,23.641,20.553,22.489,16.916
2016-119,3.405,11.476,20.707,12.53,17.139,15.03,4.949,9.462,23.064,20.102,22.629,17.444
2016-120,3.478,11.654,20.816,12.632,17.855,14.455,5.117,10.138,23.842,20.143,22.909,17.425
2016-121,3.593,11.95,21.237,12.826,18.32,15.066,5.235,10.515,24.078,21.388,22.988,17.21
2016-122,3.666,12.312,21.17,13.26,18.591,15.41,5.614,10.65,24.218,20.866,23.15,17.481
2016-123,3.739,12.53,21.545,13.405,18.959,15.639,5.775,10.784,24.282,21.259,23.282,18.286
2016-124,3.748,13.101,21.798,14.281,20.246,15.423,5.918,11.231,24.406,21.624,23.44,18.673
2016-125,3.819,13.408,22.126,14.664,20.41,15.759,6.26,11.977,24.679,22.089,23.567,19.101
2016-126,3.89,13.859,22.352,15.167,20.843,16.135,6.714,12.58,24.809,22.261,23.691,19.596
2016-127,3.96,14.122,22.517,15.317,21.135,16.886,6.835,13.296,24.904,22.404,23.813,19.915
2016-128,4.118,14.126,22.617,15.434,20.843,16.913,6.956,13.35,25.03,22.534,23.932,19.984
2016-129,4.189,14.214,22.722,15.607,20.771,17.139,7.035,13.667,25.197,22.645,24.049,20.093
2016-130,4.258,14.378,22.843,15.755,20.985,17.302,7.176,13.84,25.317,22.754,24.132,20.286
2016-131,4.327,14.576,22.973,15.837,21.316,17.448,7.39,14.085,25.435,22.855,24.244,20.525
2016-132,4.395,14.864,22.779,15.977,21.97,17.602,7.583,14.228,25.471,22.706,24.353,19.852
2016-133,4.462,15.115,23.064,16.481,22.225,17.922,7.602,14.569,25.662,22.941,24.459,20.504
2016-134,4.529,15.43,23.277,16.759,22.391,18.037,8.144,14.683,25.783,23.1,24.563,21.001
2016-135,4.594,15.566,23.377,16.832,22.543,18.222,8.295,14.788,25.89,23.217,24.664,21.111
2016-136,4.777,15.071,23.414,16.473,20.201,18.914,8.534,15.573,25.994,23.344,24.763,20.966
2016-137,4.841,15.489,23.578,16.172,21.825,19.038,8.764,15.75,26.096,23.445,24.859,21.361
2016-138,4.905,15.87,23.662,16.708,22.572,19.197,8.851,15.886,26.195,23.54,24.953,21.451
2016-139,4.966,16.408,23.746,17.886,23.202,19.458,8.936,16.469,26.291,23.627,25.044,21.557
2016-140,5.027,16.515,23.761,18.206,23.338,19.209,9.006,16.434,26.384,23.711,25.165,21.392
2016-141,5.087,16.511,23.854,18.673,23.453,18.626,8.793,16.332,26.474,23.793,25.25,21.547
2016-142,5.145,16.615,23.878,19.354,22.723,18.758,9.042,16.398,26.562,23.872,25.302,21.437
2016-143,5.202,16.732,23.998,19.525,22.843,18.864,9.118,16.519,26.647,23.949,25.382,21.713
2016-144,5.257,16.965,24.07,19.944,23.142,19.143,9.134,16.637,26.729,24.024,25.46,21.805
2016-145,5.286,17.333,24.141,20.224,23.881,19.317,9.384,16.762,26.808,24.095,25.535,21.897
2016-146,5.391,17.759,24.139,21.268,24.194,19.627,9.455,16.874,26.885,24.165,25.608,21.712
2016-147,5.442,17.898,24.197,21.352,24.298,19.668,9.706,17.733,26.958,24.231,25.678,21.769
2016-148,5.492,17.995,24.375,21.441,24.405,19.848,9.765,18.144,27.029,24.296,25.676,22.31
2016-149,5.337,18.128,24.384,21.565,24.514,20.093,9.874,18.652,27.097,24.357,25.74,22.189
2016-150,5.382,18.42,24.448,21.931,24.616,20.524,10.189,18.94,27.163,24.416,25.802,22.289
2016-151,5.545,18.631,24.529,22.334,24.711,20.891,10.264,20.017,27.225,24.473,25.861,22.462
2016-152,5.621,18.792,24.57,22.732,24.803,20.949,10.334,20.186,27.285,24.527,25.917,22.485
2016-153,5.658,18.802,24.645,22.582,24.89,21.077,10.363,20.214,27.342,24.578,25.971,22.648
2016-154,5.697,18.932,24.706,22.782,24.973,21.183,10.483,20.417,27.396,24.627,26.057,22.759
2016-155,5.742,19.122,24.744,22.92,25.074,21.333,10.795,20.639,27.447,24.674,26.105,22.792
2016-156,5.868,19.457,24.804,23.12,25.149,22.203,11.196,20.791,27.496,24.718,26.185,22.913
2016-157,5.902,19.441,24.846,23.177,25.22,22.32,11.003,21.114,27.541,24.759,26.229,22.971
2016-158,6.135,19.664,24.864,23.253,25.287,22.269,11.573,21.245,27.584,24.798,26.269,22.943
2016-159,6.163,19.839,24.895,23.404,25.353,22.368,11.882,21.057,27.624,24.834,26.307,22.975
2016-160,6.192,20.081,24.928,23.451,25.449,22.506,12.431,21.204,27.661,24.868,26.342,23.021
2016-161,6.219,20.131,24.968,23.5,25.504,22.563,12.474,21.25,27.696,24.899,26.375,23.096
2016-162,6.364,20.304,24.987,23.54,25.592,22.819,12.779,20.415,27.727,24.928,26.405,23.101
2016-163,6.399,20.588,25.019,23.835,25.669,23.91,12.855,20.918,27.756,24.954,26.432,23.161
2016-164,6.42,20.626,25.04,23.872,25.711,23.953,12.889,20.968,27.782,24.978,26.457,23.182
2016-165,6.44,20.759,25.058,24.027,25.793,23.943,13.104,21.375,27.806,24.999,26.479,23.201
2016-166,6.498,21.096,25.084,24.645,25.827,23.701,13.691,21.545,27.826,25.017,26.498,23.259
2016-167,6.551,21.179,25.123,24.839,25.856,23.736,13.75,21.755,27.844,25.033,26.515,23.374
2016-168,6.728,21.518,25.135,24.893,25.937,23.761,14.636,21.767,27.859,25.047,26.529,23.386
2016-169,6.739,21.916,25.144,25.09,25.958,23.782,15.634,21.951,27.871,25.058,26.541,23.395
2016-170,6.748,21.926,25.158,25.083,25.974,23.798,15.651,21.972,27.88,25.066,26.549,23.431
2016-171,6.813,22.015,25.18,25.122,25.987,24.091,15.746,22.036,27.887,25.072,26.556,23.503
2016-172,6.834,22.124,25.196,25.456,25.994,24.121,15.788,22.199,27.89,25.076,26.559,23.556
2016-173,6.886,22.218,25.207,25.717,25.998,24.152,15.843,22.194,27.891,25.077,26.56,23.6
2016-174,6.886,22.316,25.207,25.853,25.997,24.572,15.844,22.209,27.889,25.075,26.558,23.607
2016-175,7.211,22.408,25.203,25.848,25.992,24.567,16.127,22.146,27.885,25.071,26.554,23.603
2016-176,7.219,22.79,25.199,25.865,25.983,24.557,17.253,21.965,27.877,25.064,26.547,23.605
2016-177,7.216,23.011,25.192,25.842,25.969,24.796,17.83,22.216,27.867,25.055,26.537,23.6
2016-178,7.207,23.052,25.181,25.826,25.951,24.772,17.99,22.195,27.854,25.043,26.525,23.59
2016-179,7.273,23.176,25.176,25.989,25.928,24.755,18.252,22.179,27.839,25.029,26.51,23.606
2016-180,7.279,23.181,25.165,25.919,25.902,24.732,18.349,22.147,27.82,25.012,26.493,23.608
2016-181,7.262,23.153,25.148,25.891,25.871,24.726,18.314,22.11,27.799,24.993,26.473,23.59
2016-182,7.231,23.286,25.128,26.143,25.835,24.694,18.549,22.211,27.775,24.972,26.45,23.571
2016-183,7.241,23.333,25.112,26.106,25.796,24.737,18.727,22.164,27.748,24.947,26.425,23.569
2016-184,7.305,23.301,25.088,26.112,25.752,24.691,18.679,22.111,27.719,24.921,26.397,23.544
2016-185,7.278,23.264,25.062,26.068,25.704,24.605,18.678,22.043,27.687,24.892,26.366,23.518
2016-186,7.273,23.257,25.033,26.02,25.652,24.546,18.758,21.97,27.652,24.86,26.333,23.489
2016-187,7.241,23.388,25.009,25.975,25.595,24.544,19.225,21.901,27.614,24.826,26.366,23.474
2016-188,7.207,23.347,24.973,25.916,25.535,24.481,19.221,21.828,27.573,24.789,26.328,23.429
2016-189,7.171,23.318,24.938,25.857,25.47,24.528,19.21,21.755,27.53,24.75,26.287,23.393
2016-190,7.132,23.246,24.906,25.797,25.401,24.456,19.125,21.672,27.484,24.708,26.243,23.375
2016-191,7.092,23.399,24.869,25.753,25.328,24.494,19.65,21.669,27.436,24.664,26.197,23.343
2016-192,7.037,23.328,24.827,25.682,25.251,24.492,19.552,21.595,27.384,24.618,26.148,23.3
2016-193,6.995,23.263,24.784,25.608,25.17,24.562,19.449,21.497,27.33,24.569,26.096,23.256
2016-194,7.038,23.228,24.738,25.527,25.085,24.553,19.475,21.445,27.273,24.517,26.042,23.209
2016-195,6.998,23.15,24.689,25.446,24.996,24.567,19.368,21.577,27.213,24.463,25.985,23.156
2016-196,6.917,23.049,24.638,25.36,24.903,24.428,19.267,21.382,27.151,24.407,25.926,23.104
2016-197,6.829,22.968,24.585,25.312,24.806,24.263,19.206,21.281,27.086,24.348,25.83,23.051
2016-198,7.09,22.859,24.53,25.219,24.705,24.157,19.077,21.201,27.018,24.286,25.766,22.995
2016-199,7.043,22.752,24.473,25.123,24.6,24.052,18.96,21.074,26.947,24.222,25.699,22.937
2016-200,6.99,22.637,24.414,25.023,24.491,23.937,18.827,20.943,26.874,24.156,25.629,22.877
2016-201,7.013,22.515,24.353,24.92,24.379,23.785,18.696,20.812,26.798,24.087,25.557,22.815
2016-202,6.965,22.39,24.289,24.813,24.263,23.663,18.552,20.672,26.719,24.016,25.482,22.75
2016-203,6.877,22.261,24.223,24.702,24.143,23.537,18.4,20.533,26.638,23.943,25.405,22.683
2016-204,6.825,22.134,24.155,24.589,24.019,23.407,18.261,20.321,26.554,23.866,25.325,22.614
2016-205,6.75,22,24.087,24.471,23.892,23.288,18.101,20.175,26.467,23.788,25.276,22.546
2016-206,6.664,21.87,24.014,24.351,23.761,23.151,17.967,20.019,26.378,23.707,25.191,22.473
